id,selected,weight
S76,S1,3
S30,S1,2
S75,S1,4
S68,S1,2
S43,S1,2
S14,S1,4
S45,S1,2
S42,S2,5
S30,S2,2
S65,S3,2
S38,S3,5
S74,S3,3
S47,S3,2
S42,S4,2
S70,S5,2
S66,S5,4
S13,S6,5
S52,S6,5
S70,S6,2
S37,S6,4
S41,S6,2
S71,S6,3
S44,S7,3
S46,S7,3
S65,S7,5
S75,S7,2
S43,S7,4
S66,S7,4
S29,S7,5
S71,S7,2
S23,S7,3
S45,S7,2
S76,S8,2
S1,S10,2
S57,S10,2
S37,S10,2
S5,S10,2
S49,S11,2
S72,S11,3
S67,S11,2
S43,S12,2
S73,S13,2
S52,S13,5
S6,S13,4
S56,S13,2
S70,S13,3
S49,S13,2
S75,S13,2
S37,S13,4
S71,S13,3
S5,S13,3
S1,S14,4
S43,S14,3
S25,S15,3
S70,S15,4
S57,S16,3
S1,S17,2
S70,S17,2
S75,S17,5
S5,S17,2
S63,S18,3
S75,S18,2
S66,S18,3
S75,S19,5
S64,S19,2
S23,S19,2
S53,S20,3
S76,S20,2
S43,S20,2
S1,S21,2
S53,S21,3
S30,S21,5
S24,S21,3
S26,S22,2
S49,S22,2
S29,S22,4
S41,S22,3
S51,S23,3
S76,S23,2
S56,S23,2
S49,S23,5
S63,S23,3
S75,S23,2
S19,S23,4
S64,S23,3
S43,S23,2
S66,S23,3
S53,S24,5
S52,S24,3
S30,S24,4
S66,S24,2
S46,S25,2
S15,S25,3
S41,S25,2
S5,S25,2
S57,S26,2
S22,S26,4
S63,S26,3
S66,S26,2
S35,S26,2
S42,S27,2
S47,S27,2
S71,S27,4
S29,S28,2
S1,S29,2
S44,S29,3
S57,S29,5
S46,S29,2
S65,S29,5
S59,S29,2
S22,S29,4
S52,S29,2
S28,S29,2
S66,S29,3
S1,S30,3
S42,S30,2
S51,S30,2
S53,S30,3
S52,S30,5
S75,S30,4
S24,S30,5
S39,S30,4
S29,S30,2
S67,S30,4
S1,S31,2
S46,S31,5
S53,S31,3
S76,S31,4
S34,S31,2
S1,S32,2
S59,S32,3
S63,S32,3
S47,S32,2
S3,S32,3
S56,S34,2
S64,S34,3
S67,S34,2
S63,S35,5
S15,S36,2
S70,S36,2
S41,S36,2
S73,S37,5
S13,S37,5
S52,S37,5
S6,S37,4
S56,S37,3
S70,S37,4
S49,S37,2
S75,S37,2
S64,S37,2
S72,S37,2
S41,S37,3
S71,S37,3
S74,S38,4
S49,S38,3
S3,S38,5
S1,S39,2
S30,S39,5
S67,S39,4
S59,S40,3
S32,S40,2
S63,S40,3
S73,S41,3
S25,S41,2
S46,S41,2
S65,S41,2
S22,S41,2
S13,S41,2
S37,S41,3
S15,S42,2
S30,S42,3
S70,S42,3
S27,S42,2
S4,S42,2
S43,S42,4
S47,S42,2
S5,S42,2
S2,S42,4
S1,S43,2
S46,S43,3
S42,S43,2
S23,S43,2
S1,S44,3
S57,S44,2
S65,S44,5
S29,S44,2
S1,S45,3
S37,S45,2
S2,S45,2
S73,S46,2
S25,S46,3
S53,S46,3
S31,S46,5
S43,S46,4
S29,S46,3
S23,S46,2
S63,S47,3
S73,S48,2
S49,S48,4
S66,S48,3
S37,S48,3
S41,S48,3
S23,S48,3
S38,S49,2
S51,S49,3
S74,S49,3
S53,S49,2
S75,S49,2
S64,S49,3
S66,S49,5
S37,S49,2
S23,S49,5
S1,S50,3
S15,S50,2
S34,S50,2
S75,S50,5
S1,S51,2
S49,S51,3
S64,S51,2
S66,S51,5
S23,S51,3
S67,S51,2
S61,S52,4
S13,S52,5
S6,S52,4
S30,S52,3
S70,S52,3
S63,S52,2
S24,S52,3
S37,S52,4
S67,S52,2
S49,S53,2
S75,S53,5
S19,S53,2
S24,S53,5
S67,S53,3
S13,S56,3
S63,S56,2
S64,S56,5
S37,S56,3
S23,S56,2
S44,S57,2
S16,S57,3
S29,S57,4
S5,S57,2
S61,S59,2
S63,S59,5
S29,S59,2
S76,S60,5
S59,S61,3
S52,S61,4
S63,S61,4
S37,S61,2
S53,S62,5
S49,S62,2
S1,S63,2
S61,S63,5
S59,S63,4
S70,S63,2
S35,S63,3
S71,S63,3
S23,S63,2
S51,S64,2
S56,S64,5
S34,S64,4
S49,S64,2
S63,S64,2
S19,S64,4
S37,S64,3
S23,S64,2
S67,S64,2
S44,S65,5
S70,S65,2
S29,S65,5
S65,S66,2
S51,S66,4
S49,S66,5
S37,S66,3
S23,S66,2
S5,S66,4
S51,S67,2
S53,S67,4
S70,S67,3
S39,S67,2
S1,S68,2
S75,S69,3
S73,S70,3
S15,S70,3
S13,S70,3
S52,S70,3
S37,S70,3
S67,S70,3
S57,S71,2
S13,S71,3
S6,S71,2
S70,S71,3
S63,S71,4
S27,S71,2
S37,S71,2
S39,S71,2
S67,S71,3
S11,S72,3
S37,S72,2
S46,S73,2
S13,S73,3
S52,S73,3
S70,S73,4
S49,S73,2
S37,S73,5
S41,S73,3
S38,S74,4
S6,S74,4
S49,S74,3
S3,S74,4
S1,S75,3
S53,S75,3
S76,S75,2
S30,S75,3
S19,S75,4
S39,S75,2
S5,S75,2
S1,S76,2
S31,S76,3
S75,S76,2
S29,S76,2
